"More results","More results"
"Add to Cart","Add to Cart"
"Search Pro","Search Pro"
"Search Type","Search Type"
"Attribute #1","Attribute #1"
"Attribute #2","Attribute #2"
"Attribute #3","Attribute #3"
"Attribute #4","Attribute #4"
"Attribute #5","Attribute #5"
"Attribute #6","Attribute #6"
"Attribute #7","Attribute #7"
"Attribute #8","Attribute #8"
"Attribute #9","Attribute #9"
"Attribute #10","Attribute #10"
"Popup width (px)","Popup width (px)"
"Min characters","Min characters"
"Products Limit","Products Limit"
"Name Length","Name Length"
"Description Length","Description Length"
"Show reviews","Show reviews"
"Enable ""Add to Cart"" button","Enable ""Add to Cart"" button"
"Image thumbnail size","Image thumbnail size"
"Resize an image thumbnail in the quick search results popup.","Resize an image thumbnail in the quick search results popup."
"Weight #1","Weight #1"
"Weight #2","Weight #2"
"Weight #3","Weight #3"
"Weight #4","Weight #4"
"Weight #5","Weight #5"
"Weight #6","Weight #6"
"Weight #7","Weight #7"
"Weight #8","Weight #8"
"Weight #9","Weight #9"
"Weight #10","Weight #10"
"Information","Information"
"Set the width of the autocomplete popup window. Recommended value for horizontal view is 900. To get vertical view please enter 600 and lower.","Set the width of the autocomplete popup window. Recommended value for horizontal view is 900. To get vertical view please enter 600 and lower."
"Enable Redirect from 404 to Search Results","Enable Redirect from 404 to Search Results"
"If option is enabled, customer will be redirected to the store search results from the broken URL instead of the '404 Not Found' page","If option is enabled, customer will be redirected to the store search results from the broken URL instead of the '404 Not Found' page"
